item_category,pv,cart,fav,buy,uv,pv/uv,convert_buy_rate,buy_rate
3227333,56,12,4,11,44,1.27,0.19643,0.19
599382,425,39,18,83,288,1.48,0.19529,0.2
1619654,195,0,33,38,86,2.27,0.19487,0.19
4154011,114,14,4,22,60,1.9,0.19298,0.26
3245753,371,15,8,71,182,2.04,0.19137,0.29
3552282,21,0,1,4,5,4.2,0.19048,0.29
4083276,142,0,2,27,70,2.03,0.19014,0.22
4905428,165,8,3,31,63,2.62,0.18788,0.32
1911903,165,0,3,31,86,1.92,0.18788,0.27
3244208,16,2,0,3,13,1.23,0.1875,0.13
3574025,16,1,0,3,14,1.14,0.1875,0.19
1439081,177,12,1,33,71,2.49,0.18644,0.35
551254,292,14,10,54,180,1.62,0.18493,0.18
4993585,38,2,2,7,23,1.65,0.18421,0.24
2025483,3751,459,126,690,1454,2.58,0.18395,0.28
1863793,11,1,1,2,4,2.75,0.18182,0.4
4239298,11,0,0,2,6,1.83,0.18182,0.33
3585570,22,1,2,4,13,1.69,0.18182,0.24
1881939,11,0,1,2,8,1.38,0.18182,0.2
1034030,22,1,0,4,17,1.29,0.18182,0.2
4683331,22,6,1,4,17,1.29,0.18182,0.15
2392562,33,7,3,6,29,1.14,0.18182,0.15
3391612,11,1,0,2,10,1.1,0.18182,0.17
2397531,50,7,0,9,29,1.72,0.18,0.24
2104564,50,8,1,9,36,1.39,0.18,0.21
2229642,106,17,2,19,69,1.54,0.17925,0.19
2584932,1172,113,82,210,486,2.41,0.17918,0.29
2783415,274,16,11,49,157,1.75,0.17883,0.2
1957404,28,2,1,5,16,1.75,0.17857,0.17
678291,28,2,2,5,18,1.56,0.17857,0.14
720513,1238,119,39,219,365,3.39,0.1769,0.43
4783746,1398,98,34,246,908,1.54,0.17597,0.22
3708413,330,52,7,58,186,1.77,0.17576,0.24
4854759,1864,263,95,324,1204,1.55,0.17382,0.2
1868513,144,17,16,25,75,1.92,0.17361,0.27
654045,930,139,24,161,602,1.54,0.17312,0.2
1502525,347,39,13,60,177,1.96,0.17291,0.23
4269526,278,37,5,48,216,1.29,0.17266,0.14
3151689,29,3,1,5,17,1.71,0.17241,0.23
4886273,35,3,2,6,29,1.21,0.17143,0.18
3813272,158,13,4,27,77,2.05,0.17089,0.3
23488,41,5,0,7,21,1.95,0.17073,0.29
3027785,287,27,6,49,160,1.79,0.17073,0.16
1416942,82,5,3,14,52,1.58,0.17073,0.23
4835206,2456,474,72,418,1485,1.65,0.1702,0.21
2925636,2470,311,78,418,1007,2.45,0.16923,0.31
4107281,130,0,1,22,90,1.44,0.16923,0.19
364772,71,4,2,12,47,1.51,0.16901,0.15
4281917,71,3,1,12,61,1.16,0.16901,0.14
2993053,160,12,3,27,79,2.03,0.16875,0.28
2306491,679,44,28,114,299,2.27,0.16789,0.28
4618862,12,1,0,2,4,3.0,0.16667,0.4
1935459,18,1,0,3,8,2.25,0.16667,0.3
715415,30,0,4,5,15,2.0,0.16667,0.22
521892,120,15,3,20,66,1.82,0.16667,0.25
4240866,18,1,1,3,12,1.5,0.16667,0.21
2808920,30,4,0,5,23,1.3,0.16667,0.19
3719518,18,0,0,3,14,1.29,0.16667,0.07
4921468,18,3,1,3,14,1.29,0.16667,0.17
2223314,12,0,0,2,10,1.2,0.16667,0.2
5038211,12,0,0,2,10,1.2,0.16667,0.2
2812993,4929,468,177,813,1861,2.65,0.16494,0.33
3829496,219,0,1,36,79,2.77,0.16438,0.33
4461425,367,73,11,60,271,1.35,0.16349,0.16
4274907,586,54,8,95,266,2.2,0.16212,0.19
734809,2476,197,79,401,840,2.95,0.16195,0.34
546008,31,2,1,5,22,1.41,0.16129,0.16
2023387,4468,708,163,719,2715,1.65,0.16092,0.2
4761031,100,6,4,16,37,2.7,0.16,0.36
937407,3151,292,74,503,1031,3.06,0.15963,0.34
4992952,421,60,24,67,237,1.78,0.15914,0.22
3724091,5253,691,165,833,2358,2.23,0.15858,0.28
1759436,373,75,22,59,252,1.48,0.15818,0.17
1081429,95,5,4,15,53,1.79,0.15789,0.2
253548,19,2,0,3,14,1.36,0.15789,0.19
4065109,32,2,0,5,10,3.2,0.15625,0.27
3095371,32,2,1,5,13,2.46,0.15625,0.31
1029306,480,63,6,75,208,2.31,0.15625,0.27
1000858,64,9,1,10,42,1.52,0.15625,0.18
4291697,374,26,17,58,196,1.91,0.15508,0.24
845239,201,7,3,31,136,1.48,0.15423,0.19
1936083,13,3,2,2,5,2.6,0.15385,0.33
3810222,13,0,0,2,5,2.6,0.15385,0.4
3980699,39,7,2,6,20,1.95,0.15385,0.24
3953000,13,3,0,2,8,1.62,0.15385,0.12
1159340,39,2,0,6,25,1.56,0.15385,0.19
1795783,13,0,1,2,9,1.44,0.15385,0.22
5138388,13,0,0,2,9,1.44,0.15385,0.2
2002445,13,0,4,2,10,1.3,0.15385,0.13
1602084,78,5,1,12,62,1.26,0.15385,0.16
1593157,13,0,0,2,12,1.08,0.15385,0.15
2609208,634,146,15,97,453,1.4,0.153,0.15
712478,59,9,0,9,38,1.55,0.15254,0.2
2481133,59,0,1,9,52,1.13,0.15254,0.16
2117812,105,9,5,16,43,2.44,0.15238,0.31
1366688,3270,215,71,498,739,4.42,0.15229,0.41
1263934,92,7,3,14,67,1.37,0.15217,0.18
5149726,1278,136,47,194,648,1.97,0.1518,0.23
1734820,33,3,0,5,25,1.32,0.15152,0.19
1149584,1759,262,55,266,851,2.07,0.15122,0.25
5161669,940,117,19,142,404,2.33,0.15106,0.26
3759918,2624,298,89,396,1142,2.3,0.15091,0.28
166326,1634,206,46,246,734,2.23,0.15055,0.26
4256421,60,2,1,9,29,2.07,0.15,0.2
88095,40,3,1,6,27,1.48,0.15,0.21
4792955,20,6,0,3,16,1.25,0.15,0.12
1731549,20,1,1,3,17,1.18,0.15,0.15
1023823,9122,955,246,1364,2938,3.1,0.14953,0.31
476519,910,40,27,136,524,1.74,0.14945,0.21
1198404,5022,589,201,749,2213,2.27,0.14914,0.26
1751679,275,37,2,41,162,1.7,0.14909,0.23
112445,2228,0,41,332,1181,1.89,0.14901,0.17
3900668,4233,303,249,629,1481,2.86,0.14859,0.27
3544478,149,5,6,22,107,1.39,0.14765,0.17
2225310,2601,405,95,383,1347,1.93,0.14725,0.22
1216180,394,45,7,58,177,2.23,0.14721,0.26
2363745,34,1,1,5,19,1.79,0.14706,0.16
2959407,4272,755,177,628,2370,1.8,0.147,0.19
3521514,1838,162,62,269,881,2.09,0.14635,0.24
553565,41,8,3,6,23,1.78,0.14634,0.19
4559160,41,2,2,6,23,1.78,0.14634,0.21
3476493,260,27,8,38,174,1.49,0.14615,0.17
85955,22142,2758,645,3230,9614,2.3,0.14588,0.26
3387711,48,6,2,7,23,2.09,0.14583,0.24
4064781,48,6,0,7,35,1.37,0.14583,0.14
991317,837,129,29,122,398,2.1,0.14576,0.25
4522646,234,25,5,34,114,2.05,0.1453,0.24
4591425,1240,62,34,180,697,1.78,0.14516,0.18
2628979,222,25,6,32,134,1.66,0.14414,0.18
1444181,340,48,9,49,286,1.19,0.14412,0.14
4767457,354,45,8,51,211,1.68,0.14407,0.16
244923,5289,767,118,759,2674,1.98,0.14351,0.22
579836,384,61,13,55,114,3.37,0.14323,0.33
322805,5230,532,255,749,3050,1.71,0.14321,0.2
221906,63,4,0,9,30,2.1,0.14286,0.22
1709559,28,3,0,4,14,2.0,0.14286,0.25
4124908,21,1,0,3,11,1.91,0.14286,0.27
2517335,14,1,0,2,8,1.75,0.14286,0.2
3155336,217,29,11,31,139,1.56,0.14286,0.18
4946287,28,0,0,4,18,1.56,0.14286,0.14
21032,21,2,0,3,14,1.5,0.14286,0.19
4542855,49,3,1,7,42,1.17,0.14286,0.14
2738053,14,3,1,2,14,1.0,0.14286,0.12
4936155,771,111,28,110,365,2.11,0.14267,0.24
602012,1024,152,18,146,599,1.71,0.14258,0.18
2419332,4972,609,190,705,2867,1.73,0.14179,0.19
2606924,509,78,27,72,282,1.8,0.14145,0.19
2244246,297,35,7,42,173,1.72,0.14141,0.19
4858047,57,6,1,8,32,1.78,0.14035,0.23
262541,1073,247,31,150,700,1.53,0.13979,0.16
772894,11495,859,373,1603,4494,2.56,0.13945,0.27
2100611,2509,396,65,349,1392,1.8,0.1391,0.19
1352609,1245,167,33,173,707,1.76,0.13896,0.2
324865,216,28,6,30,162,1.33,0.13889,0.14
4436461,1818,124,54,252,833,2.18,0.13861,0.24
886304,267,22,7,37,139,1.92,0.13858,0.23
3185664,166,10,3,23,102,1.63,0.13855,0.18
3947630,1011,123,41,140,564,1.79,0.13848,0.19
1532088,1503,201,67,208,767,1.96,0.13839,0.22
4776096,427,10,7,59,232,1.84,0.13817,0.19
90326,464,36,18,64,195,2.38,0.13793,0.25
2894212,261,27,4,36,158,1.65,0.13793,0.18
249998,29,11,3,4,23,1.26,0.13793,0.1
3681960,29,3,2,4,24,1.21,0.13793,0.14
4392650,8911,860,362,1223,2592,3.44,0.13725,0.36
5030407,1516,170,49,208,757,2.0,0.1372,0.22
2168489,665,153,13,91,560,1.19,0.13684,0.12
1904657,1016,135,35,139,519,1.96,0.13681,0.2
980785,3562,336,178,486,1515,2.35,0.13644,0.24
4932619,22,2,0,3,9,2.44,0.13636,0.17
2904716,22,4,7,3,12,1.83,0.13636,0.2
1244015,22,3,2,3,15,1.47,0.13636,0.15
1124773,22,2,0,3,16,1.38,0.13636,0.17
2386315,22,2,0,3,18,1.22,0.13636,0.11
3849096,2951,386,144,402,1259,2.34,0.13623,0.23
569663,257,21,3,35,122,2.11,0.13619,0.23
1692250,235,32,10,32,111,2.12,0.13617,0.24
1312387,96,16,5,13,71,1.35,0.13542,0.15
3045016,230,28,14,31,165,1.39,0.13478,0.15
158300,416,43,12,56,177,2.35,0.13462,0.25
588463,3032,0,169,408,640,4.74,0.13456,0.39
3146541,112,15,3,15,79,1.42,0.13393,0.16
685988,8039,1048,231,1074,3513,2.29,0.1336,0.24
4102207,60,1,3,8,33,1.82,0.13333,0.18
303690,15,1,2,2,9,1.67,0.13333,0.2
1702673,375,47,13,50,227,1.65,0.13333,0.16
1352442,45,3,3,6,32,1.41,0.13333,0.16
455842,15,3,0,2,12,1.25,0.13333,0.14
1034344,15,0,0,2,13,1.15,0.13333,0.13
3300413,30,6,7,4,26,1.15,0.13333,0.09
3787408,15,2,0,2,13,1.15,0.13333,0.13
2550060,3853,381,136,512,1962,1.96,0.13288,0.22
3681567,143,6,6,19,118,1.21,0.13287,0.12
4357784,196,21,5,26,120,1.63,0.13265,0.18
746548,573,77,25,76,300,1.91,0.13264,0.21
1382333,83,7,1,11,45,1.84,0.13253,0.21
5048770,4221,331,110,559,1604,2.63,0.13243,0.28
3990760,204,10,17,27,121,1.69,0.13235,0.17
4317228,4626,447,128,612,1919,2.41,0.1323,0.25
1256778,651,101,14,86,417,1.56,0.1321,0.17
2464993,795,1,12,105,394,2.02,0.13208,0.21
1217893,106,0,12,14,57,1.86,0.13208,0.14
4187879,106,16,6,14,81,1.31,0.13208,0.15
3922526,1409,140,46,186,478,2.95,0.13201,0.3
5015375,1577,134,71,208,723,2.18,0.1319,0.24
3164069,524,51,9,69,216,2.43,0.13168,0.25
4318499,38,6,0,5,34,1.12,0.13158,0.12
3822090,897,86,26,118,328,2.73,0.13155,0.3
5155355,198,21,15,26,123,1.61,0.13131,0.16
3105596,298,25,22,39,156,1.91,0.13087,0.13
1400945,69,8,1,9,28,2.46,0.13043,0.28
1547412,530,80,30,69,257,2.06,0.13019,0.21
2207881,123,25,8,16,70,1.76,0.13008,0.14
292651,223,21,6,29,113,1.97,0.13004,0.18
2321836,15927,1928,623,2065,7127,2.23,0.12965,0.23
1393144,216,31,5,28,121,1.79,0.12963,0.2
749585,170,18,1,22,93,1.83,0.12941,0.19
3806436,85,9,3,11,52,1.63,0.12941,0.18
4942599,31,1,1,4,19,1.63,0.12903,0.18
713487,31,1,2,4,23,1.35,0.12903,0.15
2569114,31,3,2,4,25,1.24,0.12903,0.11
1060525,233,32,10,30,117,1.99,0.12876,0.18
1362985,39,3,2,5,18,2.17,0.12821,0.22
1601543,7698,1019,425,985,3921,1.96,0.12796,0.2
1171633,47,12,8,6,19,2.47,0.12766,0.22
4545616,47,6,0,6,37,1.27,0.12766,0.14
3884119,3815,357,122,487,1845,2.07,0.12765,0.21
4823567,478,29,7,61,251,1.9,0.12762,0.21
207891,314,30,5,40,107,2.93,0.12739,0.27
183516,465,45,18,59,180,2.58,0.12688,0.27
386405,134,12,1,17,55,2.44,0.12687,0.26
4256143,237,21,9,30,106,2.24,0.12658,0.21
4399402,87,15,5,11,49,1.78,0.12644,0.13
764558,1037,84,22,131,595,1.74,0.12633,0.18
2668462,119,15,2,15,59,2.02,0.12605,0.2
352399,516,103,85,65,297,1.74,0.12597,0.15
1508018,6922,672,211,870,1874,3.69,0.12569,0.32
1368970,9702,720,286,1218,2736,3.55,0.12554,0.25
3841239,263,36,12,33,148,1.78,0.12548,0.16
2223246,2274,363,74,285,1209,1.88,0.12533,0.18
1012333,1165,142,63,146,492,2.37,0.12532,0.24
4220654,3784,349,149,474,1848,2.05,0.12526,0.2
1018206,32,2,1,4,15,2.13,0.125,0.17
357412,152,21,4,19,87,1.75,0.125,0.17
570578,48,6,2,6,28,1.71,0.125,0.18
2022943,16,3,1,2,10,1.6,0.125,0.2
1648490,152,12,5,19,101,1.5,0.125,0.16
4202214,184,23,2,23,127,1.45,0.125,0.15
2077129,40,5,3,5,28,1.43,0.125,0.16
3410884,40,0,0,5,29,1.38,0.125,0.16
4038539,16,3,0,2,12,1.33,0.125,0.13
4770284,40,9,6,5,31,1.29,0.125,0.13
2768545,16,0,1,2,13,1.23,0.125,0.14
2627383,40,1,1,5,33,1.21,0.125,0.13
2297466,32,2,3,4,27,1.19,0.125,0.13
815995,40,3,1,5,37,1.08,0.125,0.1
77546,16,2,1,2,15,1.07,0.125,0.11
2591148,16,3,1,2,15,1.07,0.125,0.12
1516409,53916,4264,1861,6721,21737,2.48,0.12466,0.25
2446427,337,68,24,42,212,1.59,0.12463,0.15
814178,718,81,17,89,367,1.96,0.12396,0.19
3147028,704,68,14,87,264,2.67,0.12358,0.26
3016461,243,22,6,30,126,1.93,0.12346,0.21
3008396,1046,102,22,129,347,3.01,0.12333,0.27
3891796,138,10,1,17,55,2.51,0.12319,0.29
907178,65,8,6,8,55,1.18,0.12308,0.11
3748100,1409,194,58,173,689,2.04,0.12278,0.2
2873526,220,31,7,27,146,1.51,0.12273,0.14
1799352,49,10,0,6,30,1.63,0.12245,0.14
2102739,3481,368,93,426,1200,2.9,0.12238,0.28
1066674,924,89,18,113,426,2.17,0.12229,0.21
1954028,352,23,10,43,168,2.1,0.12216,0.21
2636629,41,6,3,5,20,2.05,0.12195,0.17
1203804,304,6,10,37,187,1.63,0.12171,0.13
3897386,3963,411,135,482,1616,2.45,0.12163,0.22
3962993,74,17,7,9,33,2.24,0.12162,0.2
1941546,676,66,19,82,301,2.25,0.1213,0.22
1456311,404,36,23,49,166,2.43,0.12129,0.25
1026155,264,27,9,32,119,2.22,0.12121,0.22
4698738,165,15,6,20,98,1.68,0.12121,0.17
3552736,33,5,2,4,24,1.38,0.12121,0.14
3603295,33,8,0,4,29,1.14,0.12121,0.11
3132147,479,59,14,58,177,2.71,0.12109,0.28
3025028,496,42,23,60,225,2.2,0.12097,0.21
432523,1298,176,43,157,635,2.04,0.12096,0.2
4596941,2216,147,79,267,904,2.45,0.12049,0.22
1632647,1157,0,68,139,491,2.36,0.12014,0.22
3422966,25,3,4,3,14,1.79,0.12,0.18
1155625,500,18,16,60,340,1.47,0.12,0.13
2188673,100,17,3,12,70,1.43,0.12,0.15
4356440,2128,294,55,255,1112,1.91,0.11983,0.18
1978345,184,15,15,22,120,1.53,0.11957,0.14
2003294,134,0,8,16,61,2.2,0.1194,0.18
5023117,469,52,9,56,305,1.54,0.1194,0.15
1561921,5509,402,197,657,2486,2.22,0.11926,0.21
970709,17566,1746,668,2094,6103,2.88,0.11921,0.27
4167298,7576,626,279,902,2839,2.67,0.11906,0.21
4331400,14715,2082,549,1752,7356,2.0,0.11906,0.18
1814622,42,1,0,5,7,6.0,0.11905,0.25
883306,798,74,20,95,240,3.32,0.11905,0.28
828063,294,10,16,35,163,1.8,0.11905,0.16
2961965,42,4,0,5,24,1.75,0.11905,0.19
5060852,42,1,0,5,25,1.68,0.11905,0.19
3677368,42,3,1,5,28,1.5,0.11905,0.09
4368912,244,35,11,29,141,1.73,0.11885,0.17
2733586,4511,482,179,536,2113,2.13,0.11882,0.21
3953096,160,16,5,19,78,2.05,0.11875,0.2
64179,28721,3301,1017,3408,9631,2.98,0.11866,0.29
2529139,59,0,2,7,15,3.93,0.11864,0.33
542584,11310,1557,279,1340,4205,2.69,0.11848,0.23
2652543,152,11,6,18,99,1.54,0.11842,0.14
1088738,634,54,16,75,268,2.37,0.1183,0.24
1993741,3215,244,147,380,1816,1.77,0.1182,0.17
3882202,804,89,19,95,385,2.09,0.11816,0.2
1173843,2116,283,69,250,1557,1.36,0.11815,0.13
4444671,246,46,22,29,154,1.6,0.11789,0.13
114333,2766,274,94,326,1075,2.57,0.11786,0.24
2950158,1282,104,49,151,523,2.45,0.11778,0.21
4978108,85,10,1,10,42,2.02,0.11765,0.2
3916812,51,7,2,6,26,1.96,0.11765,0.18
2125701,17,1,1,2,9,1.89,0.11765,0.11
4358285,68,1,2,8,37,1.84,0.11765,0.15
3145954,17,1,0,2,11,1.55,0.11765,0.15
334451,85,0,4,10,57,1.49,0.11765,0.13
1496858,34,3,2,4,24,1.42,0.11765,0.15
3313795,17,0,0,2,12,1.42,0.11765,0.08
2070908,119,6,4,14,85,1.4,0.11765,0.15
3787562,17,1,3,2,13,1.31,0.11765,0.13
2046012,17,1,1,2,17,1.0,0.11765,0.05
4245139,298,26,4,35,134,2.22,0.11745,0.23
4765593,911,84,41,107,430,2.12,0.11745,0.19
3295699,179,8,3,21,127,1.41,0.11732,0.15
3326223,444,37,14,52,304,1.46,0.11712,0.15
414708,2460,260,69,288,1290,1.91,0.11707,0.18
1692521,94,5,2,11,54,1.74,0.11702,0.17
4164234,4616,557,245,540,2667,1.73,0.11698,0.16
4883976,231,31,7,27,128,1.8,0.11688,0.14
4493358,599,93,20,70,370,1.62,0.11686,0.15
2517448,257,17,11,30,116,2.22,0.11673,0.21
589207,120,16,3,14,58,2.07,0.11667,0.2
2956048,180,11,3,21,103,1.75,0.11667,0.17
2395891,60,3,1,7,44,1.36,0.11667,0.14
1316663,129,15,7,15,97,1.33,0.11628,0.13
3140218,112,16,0,13,57,1.96,0.11607,0.19
3220984,5508,597,157,637,2829,1.95,0.11565,0.18
3011375,173,12,9,20,109,1.59,0.11561,0.15
3233284,156,26,10,18,67,2.33,0.11538,0.2
2593838,26,1,0,3,19,1.37,0.11538,0.14
2848443,26,6,2,3,20,1.3,0.11538,0.08
3219576,191,18,1,22,109,1.75,0.11518,0.17
2626490,1520,162,57,175,781,1.95,0.11513,0.17
3117823,304,44,9,35,174,1.75,0.11513,0.16
4396276,462,47,14,53,235,1.97,0.11472,0.17
958821,759,68,18,87,290,2.62,0.11462,0.26
378205,1365,99,53,156,690,1.98,0.11429,0.19
4644372,35,1,0,4,19,1.84,0.11429,0.15
354507,35,2,1,4,30,1.17,0.11429,0.12
4564007,2505,235,45,285,1193,2.1,0.11377,0.19
984003,185,9,6,21,120,1.54,0.11351,0.16
677862,2568,231,57,291,870,2.95,0.11332,0.27
2883724,6286,671,243,711,2505,2.51,0.11311,0.23
3439012,28238,2495,835,3193,10378,2.72,0.11307,0.24
1398739,2966,270,182,335,1167,2.54,0.11295,0.23
1642508,124,20,2,14,66,1.88,0.1129,0.19
285822,186,9,6,21,104,1.79,0.1129,0.18
1803510,939,51,36,106,321,2.93,0.11289,0.21
3669044,26519,2935,942,2987,10942,2.42,0.11264,0.21
680438,773,69,16,87,425,1.82,0.11255,0.16
1046845,294,19,8,33,128,2.3,0.11224,0.2
3916967,3789,402,108,425,1516,2.5,0.11217,0.23
1025906,214,21,12,24,92,2.33,0.11215,0.11
4949807,1044,187,100,117,558,1.87,0.11207,0.14
4486005,777,98,26,87,374,2.08,0.11197,0.2
4398560,1173,152,59,131,557,2.11,0.11168,0.2
2081583,233,12,8,26,132,1.77,0.11159,0.17
715950,950,152,28,106,595,1.6,0.11158,0.13
3991658,63,7,1,7,18,3.5,0.11111,0.3
717439,18,0,0,2,6,3.0,0.11111,0.17
3192046,27,3,1,3,13,2.08,0.11111,0.21
